x1,y1
3.545,9.49
3.455,9.25
3.365,9.01
3.275,8.77
3.185,8.53
3.095,8.29
3.005,8.05
2.915,7.81
2.825,7.57
2.735,7.33
2.645,7.09
2.555,6.85
2.465,6.61
2.375,6.37
2.285,6.13
2.195,5.89
2.105,5.65
2.015,5.41
1.925,5.17
1.835,4.93
1.745,4.69
1.655,4.45
1.565,4.21
1.475,3.97
1.385,3.7
1.295,3.4
1.195,3.09
9.28,7.195
9.19,6.955
9.1,6.715
9.01,6.475
8.92,6.235
8.83,5.995
8.74,5.755
8.65,5.515
8.56,5.275
8.47,5.035
8.38,4.795
8.29,4.555
8.2,4.315
8.11,4.075
8.02,3.835
7.93,3.595
7.84,3.355
7.75,3.115
7.66,2.875
7.57,2.635
7.48,2.395
7.39,2.155
7.3,1.915
7.21,1.675
7.12,1.435
7.03,1.195
6.94,0.955
