x1,y1,x2,y2
2.15,6,1.84,2.29
2.3,5.935,1.99,2.26
2.45,5.87,2.14,2.23
2.6,5.805,2.29,2.2
2.75,5.74,2.44,2.17
2.9,5.675,2.59,2.14
3.05,5.619,2.74,2.11
3.2,5.545,2.89,2.08
3.35,5.48,3.04,2.05
3.5,5.415,3.19,2.02
3.65,5.35,3.34,1.99
3.8,5.285,3.49,1.96
3.95,5.22,3.64,1.93
4.1,5.155,3.79,1.9
4.25,5.09,3.94,1.87
4.4,5.025,4.09,1.84
4.55,4.96,4.24,1.81
4.7,4.895,4.39,1.78
4.85,4.83,4.54,1.75
5,4.765,4.69,1.72
5.15,4.7,4.84,1.69
5.3,4.635,4.99,1.66
5.45,4.57,5.14,1.63
5.6,4.505,5.29,1.6
5.75,4.44,5.44,1.57
5.9,4.375,5.59,1.54
6.05,4.31,5.74,1.51
6.2,4.245,5.89,1.48
6.35,4.18,6.04,1.45
6.5,4.115,6.19,1.42
6.65,4.05,6.34,1.39
6.8,3.985,6.49,1.36
6.95,3.92,6.64,1.33
7.1,3.855,6.79,1.3
7.25,3.79,6.94,1.27
7.4,3.725,7.09,1.24
7.55,3.66,7.24,1.21
7.7,3.595,7.39,1.18
7.85,3.53,7.54,1.15
8,3.465,7.69,1.12
8.15,3.4,7.84,1.09
8.25,3,7.99,1.06
8.35,2.5,8.14,1.03
8.43,2,8.29,1
8.52,1.5,8.44,0.96
8.62,1.1,8.59,0.93
