x1,y1,x2,y2
1.25,2.3,8.026,0.28
1.298,2.45,8.0765,0.43
1.346,2.6,8.127,0.58
1.394,2.75,8.1775,0.73
1.442,2.9,8.228,0.88
1.49,3.05,8.2785,1.03
1.538,3.2,8.329,1.18
1.586,3.35,8.3795,1.33
1.634,3.5,8.43,1.48
1.682,3.65,8.4805,1.63
1.73,3.8,8.531,1.78
1.778,3.95,8.5815,1.93
1.826,4.1,8.632,2.08
1.874,4.25,8.6825,2.23
1.922,4.4,8.733,2.38
1.97,4.55,8.7835,2.53
2.018,4.7,8.834,2.68
2.066,4.85,8.8845,2.83
2.114,5,8.935,2.98
2.162,5.15,8.9855,3.13
2.21,5.3,9.036,3.28
2.258,5.45,9.0865,3.43
2.306,5.6,9.137,3.58
2.354,5.75,9.1875,3.73
2.402,5.9,9.238,3.88
2.45,6.05,9.2885,4.03
2.498,6.2,9.339,4.18
2.546,6.35,9.3895,4.33
2.594,6.5,9.44,4.48
2.642,6.65,9.4905,4.63
2.69,6.8,9.541,4.78
6.438,5.9,9.5915,4.93
6.486,6.05,9.642,5.08
6.534,6.2,9.6925,5.23
6.582,6.35,9.743,5.38
6.63,6.5,9.7935,5.53
6.678,6.65,9.844,5.68
6.726,6.8,9.8945,5.83
6.774,6.95,9.945,5.98
6.822,7.1,9.9955,6.13
6.87,7.25,10.046,6.28
6.918,7.4,10.0965,6.43
6.966,7.55,10.147,6.58
7.014,7.7,10.1975,6.73
7.062,7.85,10.248,6.88
7.11,8,10.2985,7.03
7.158,8.15,10.349,7.18
7.206,8.3,10.3995,7.33
7.254,8.45,10.45,7.48
7.302,8.6,10.5005,7.63
7.35,8.75,10.551,7.78
7.398,8.9,10.6015,7.93
7.446,9.05,10.652,8.08
7.494,9.2,10.7025,8.23
7.542,9.35,10.753,8.38
7.59,9.5,10.8035,8.53
7.638,9.65,10.854,8.68
7.686,9.8,10.9045,8.83
7.734,9.95,10.955,8.98
7.782,10.1,11.0055,9.13
7.83,10.25,11.056,9.28
7.878,10.4,11.1065,9.43
7.926,10.55,11.157,9.58
7.974,10.7,11.2075,9.73
8.022,10.85,10,10.27
8.07,11,8.9,10.76
